,support,itemsets
0,0.423,frozenset({'ChildBks'})
1,0.2475,frozenset({'YouthBks'})
2,0.431,frozenset({'CookBks'})
3,0.282,frozenset({'DoItYBks'})
4,0.2145,frozenset({'RefBks'})
5,0.241,frozenset({'ArtBks'})
6,0.276,frozenset({'GeogBks'})
7,0.1135,frozenset({'ItalCook'})
8,0.037,frozenset({'ItalAtlas'})
9,0.0485,frozenset({'ItalArt'})
10,0.1085,frozenset({'Florence'})
11,0.165,"frozenset({'ChildBks', 'YouthBks'})"
12,0.256,"frozenset({'ChildBks', 'CookBks'})"
13,0.184,"frozenset({'ChildBks', 'DoItYBks'})"
14,0.1515,"frozenset({'RefBks', 'ChildBks'})"
15,0.1625,"frozenset({'ChildBks', 'ArtBks'})"
16,0.195,"frozenset({'ChildBks', 'GeogBks'})"
17,0.085,"frozenset({'ChildBks', 'ItalCook'})"
18,0.0285,"frozenset({'ChildBks', 'ItalAtlas'})"
19,0.036,"frozenset({'ItalArt', 'ChildBks'})"
20,0.0485,"frozenset({'ChildBks', 'Florence'})"
21,0.162,"frozenset({'CookBks', 'YouthBks'})"
22,0.1155,"frozenset({'DoItYBks', 'YouthBks'})"
23,0.0965,"frozenset({'RefBks', 'YouthBks'})"
24,0.101,"frozenset({'ArtBks', 'YouthBks'})"
25,0.1205,"frozenset({'GeogBks', 'YouthBks'})"
26,0.059,"frozenset({'ItalCook', 'YouthBks'})"
27,0.023,"frozenset({'ItalArt', 'YouthBks'})"
28,0.0255,"frozenset({'Florence', 'YouthBks'})"
29,0.1875,"frozenset({'DoItYBks', 'CookBks'})"
30,0.1525,"frozenset({'RefBks', 'CookBks'})"
31,0.167,"frozenset({'ArtBks', 'CookBks'})"
32,0.1925,"frozenset({'GeogBks', 'CookBks'})"
33,0.1135,"frozenset({'ItalCook', 'CookBks'})"
34,0.0285,"frozenset({'ItalAtlas', 'CookBks'})"
35,0.041,"frozenset({'ItalArt', 'CookBks'})"
36,0.0475,"frozenset({'Florence', 'CookBks'})"
37,0.1055,"frozenset({'RefBks', 'DoItYBks'})"
38,0.1235,"frozenset({'DoItYBks', 'ArtBks'})"
39,0.1325,"frozenset({'DoItYBks', 'GeogBks'})"
40,0.0585,"frozenset({'DoItYBks', 'ItalCook'})"
41,0.03,"frozenset({'ItalArt', 'DoItYBks'})"
42,0.0315,"frozenset({'DoItYBks', 'Florence'})"
43,0.0895,"frozenset({'RefBks', 'ArtBks'})"
44,0.1105,"frozenset({'RefBks', 'GeogBks'})"
45,0.0465,"frozenset({'RefBks', 'ItalCook'})"
46,0.037,"frozenset({'RefBks', 'ItalAtlas'})"
47,0.02,"frozenset({'ItalArt', 'RefBks'})"
48,0.031,"frozenset({'RefBks', 'Florence'})"
49,0.1275,"frozenset({'ArtBks', 'GeogBks'})"
50,0.0565,"frozenset({'ArtBks', 'ItalCook'})"
51,0.0485,"frozenset({'ItalArt', 'ArtBks'})"
52,0.0485,"frozenset({'ArtBks', 'Florence'})"
53,0.064,"frozenset({'GeogBks', 'ItalCook'})"
54,0.0205,"frozenset({'ItalAtlas', 'GeogBks'})"
55,0.0295,"frozenset({'ItalArt', 'GeogBks'})"
56,0.0425,"frozenset({'Florence', 'GeogBks'})"
57,0.023,"frozenset({'ItalAtlas', 'ItalCook'})"
58,0.0375,"frozenset({'ItalArt', 'ItalCook'})"
59,0.129,"frozenset({'ChildBks', 'CookBks', 'YouthBks'})"
60,0.095,"frozenset({'ChildBks', 'DoItYBks', 'YouthBks'})"
61,0.083,"frozenset({'RefBks', 'ChildBks', 'YouthBks'})"
62,0.0805,"frozenset({'ChildBks', 'ArtBks', 'YouthBks'})"
63,0.099,"frozenset({'ChildBks', 'GeogBks', 'YouthBks'})"
64,0.046,"frozenset({'ChildBks', 'ItalCook', 'YouthBks'})"
65,0.146,"frozenset({'ChildBks', 'DoItYBks', 'CookBks'})"
66,0.1225,"frozenset({'RefBks', 'ChildBks', 'CookBks'})"
67,0.1265,"frozenset({'ChildBks', 'ArtBks', 'CookBks'})"
68,0.1495,"frozenset({'ChildBks', 'GeogBks', 'CookBks'})"
69,0.085,"frozenset({'ChildBks', 'ItalCook', 'CookBks'})"
70,0.0225,"frozenset({'ChildBks', 'ItalAtlas', 'CookBks'})"
71,0.03,"frozenset({'ItalArt', 'ChildBks', 'CookBks'})"
72,0.0335,"frozenset({'ChildBks', 'Florence', 'CookBks'})"
73,0.09,"frozenset({'RefBks', 'ChildBks', 'DoItYBks'})"
74,0.095,"frozenset({'ChildBks', 'DoItYBks', 'ArtBks'})"
75,0.1045,"frozenset({'ChildBks', 'DoItYBks', 'GeogBks'})"
76,0.046,"frozenset({'ChildBks', 'DoItYBks', 'ItalCook'})"
77,0.022,"frozenset({'ItalArt', 'ChildBks', 'DoItYBks'})"
78,0.0225,"frozenset({'ChildBks', 'DoItYBks', 'Florence'})"
